Distance,Z_fondale,Z_AUV
2320.52762563533,-24.3854703330856,-21.3849976275732
2327.31279413134,-24.388656815535,-21.3881069178645
2334.09796262735,-24.3923556039913,-21.3917171173577
2340.88313112336,-24.396514424966,-21.3957934922602
2347.66829961937,-24.400707236157,-21.399968805568
2354.45346811538,-24.4049000473481,-21.4041589872015
2361.23863661139,-24.4088174396115,-21.4081173738715
2368.0238051074,-24.4116570291679,-21.4111250946999
2374.80897360341,-24.413526016175,-21.4131652090397
2381.59414209942,-24.4145426331477,-21.4143356357712
2388.37931059543,-24.4147698975288,-21.4147046372767
2395.16447909144,-24.414221749009,-21.4142943167853
2401.94964758745,-24.4128644708139,-21.413079346075
2408.73481608346,-24.4106132888728,-21.4109838845144
2415.51998457947,-24.4073244758625,-21.4078744066979
2422.30515307548,-24.4031722222113,-21.4038788599468
2429.09032157149,-24.3989794110202,-21.399715693381
2435.8754900675,-24.3947865998292,-21.395527337143
2442.66065856351,-24.3906786355785,-21.3914072916965
2449.44582705952,-24.3868436359039,-21.3875294557402
2456.23099555553,-24.3832485431337,-21.3838918727178
2463.01616405154,-24.3798649088692,-21.3804700753877
2469.80133254755,-24.3766779355498,-21.377247813043
2476.58650104356,-24.3736850265592,-21.3742204371498
2483.37166953957,-24.3708955212187,-21.3713951849539
2490.15683803558,-24.3683316339355,-21.3687920201157
2496.94200653159,-24.3660305015166,-21.3664454986855
2503.7271750276,-24.3639290328023,-21.3643072037903
2510.51234352361,-24.3618325872211,-21.3622044691526
2517.29751201962,-24.35973614164,-21.3601070784608
2524.08268051563,-24.357639699966,-21.3580104941697
2530.86784901164,-24.3555432687694,-21.3559140399663
2537.65301750765,-24.3534468466236,-21.3538176130029
